Source_Database_Code,LocationID,LocationName,LocationAbbreviation,LocationNPINumber,LocationAddress,LocationAddress2,LocationCity,LocationState,LocationZip,LocationPhone,LocationFax,LocationType,LocationFDANumber,LocationAlternativeAddress,LocationAlternativeAddress2,LocationAlternativecity,LocationAlternativestate,LocationAlternativezip,tbl_Refresh_Date,LocationPhone_norm,LocationFax_norm,birdeye_review_count,birdeye_avg_rating,birdeye_median_rating,birdeye_one_star_count,birdeye_two_star_count,birdeye_three_star_count,birdeye_four_star_count,birdeye_five_star_count,birdeye_last_review_date,birdeye_first_review_date,birdeye_review_with_comment_count,birdeye_phi_review_count,birdeye_phi_phone_total,birdeye_phi_email_total,birdeye_phi_ssn_total,birdeye_one_star_pct,birdeye_one_or_two_star_pct
ESR,1,ESR Radiology Location 1,ESR01,,7761 SUNSET LN,,MIAMI,FL,33101,(954)788-6018,,Professional,,7761 SUNSET LN,,MIAMI,FL,,2026-05-01,9547886018,,,,,,,,,,,,,,,,,,
RADK,1,RADK Radiology Location 1,RADK01,1631664398,4559 PINE DR,,MACON,GA,31201,,(404)806-4701,Facility,,,,,,31201,2026-05-01,,4048064701,,,,,,,,,,,,,,,,,
RADR,1,RADR Radiology Location 1,RADR01,1370459705,7472 CEDAR CIR,,LEBANON,TN,37087,,,Professional,,7472 CEDAR CIR,,LEBANON,,37087,2026-05-01,,,,,,,,,,,,,,,,,,,
CIRPA,1,CIRPA Radiology Location 1,CIRPA01,1636761825,4408 SCHOOL PL,,TAMPA,FL,33601,,,Global,,4408 SCHOOL PL,,,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
GRH,1,GRH Radiology Location 1,GRH01,1565236105,1233 LAKE WAY,,COLUMBUS,GA,31901,(912)707-7745,,Professional,,,,,GA,,2026-05-01,9127077745,,,,,,,,,,,,,,,,,,
RADN,1,RADN Radiology Location 1,RADN01,1661916513,677 SCHOOL AVE,,CINCINNATI,OH,45201,(419)827-1184,,Global,,,,CINCINNATI,,,2026-05-01,4198271184,,,,,,,,,,,,,,,,,,
RADQ,1,RADQ Radiology Location 1,RADQ01,,5059 SPRING ST,,RENO,NV,89501,,,Professional,,5059 SPRING ST,,RENO,NV,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADK,2,RADK Radiology Location 2,RADK02,,9693 PINE CT,,ATHENS,GA,30601,,(770)302-0614,Professional,,,,ATHENS,GA,30601,2026-05-01,,7703020614,,,,,,,,,,,,,,,,,
RADX,1,RADX Radiology Location 1,RADX01,1628745286,6665 LAKE BLVD,,SAN ANTONIO,TX,78201,,,Professional,,,,SAN ANTONIO,,78201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,1,RADU Radiology Location 1,RADU01,1022803870,5851 LAKE BLVD,,ORLANDO,FL,32801,(813)585-8427,,Professional,244916,,,,,,2026-05-01,8135858427,,,,,,,,,,,,,,,,,,
