insuranceId:ID(InsurancePlan),source_db,plan_number,plan_name,plan_type,carrier_name,:LABEL
RADD:100000,RADD,100000,COMMERCIAL HMO,HMO,COMMERCIAL,InsurancePlan
RADJ:100004,RADJ,100004,HUMANA MCRASSIGN,MCRASSIGN,HUMANA,InsurancePlan
RADN:100012,RADN,100012,BCBS EPO,EPO,BCBS,InsurancePlan
PXP:100015,PXP,100015,AETNA EPO,EPO,AETNA,InsurancePlan
RASFA:100018,RASFA,100018,COMMERCIAL TPA,TPA,COMMERCIAL,InsurancePlan
RADB:100027,RADB,100027,UNITED HMO,HMO,UNITED,InsurancePlan
SMED:100034,SMED,100034,UNITED PPO,PPO,UNITED,InsurancePlan
RADJ:100039,RADJ,100039,COMMERCIAL COMM,COMM,COMMERCIAL,InsurancePlan
RADT:100045,RADT,100045,MEDICARE POS,POS,MEDICARE,InsurancePlan
TRI:100051,TRI,100051,CIGNA MCRASSIGN,MCRASSIGN,CIGNA,InsurancePlan
NRAA:100058,NRAA,100058,HUMANA EPO,EPO,HUMANA,InsurancePlan
RADI2:100059,RADI2,100059,UNITED POS,POS,UNITED,InsurancePlan
RADI:100065,RADI,100065,CIGNA PPO,PPO,CIGNA,InsurancePlan
RADG:100074,RADG,100074,BCBS HMO,HMO,BCBS,InsurancePlan
GSIA:100080,GSIA,100080,MEDICARE HDHP,HDHP,MEDICARE,InsurancePlan
RADQ:100089,RADQ,100089,MOLINA PPO,PPO,MOLINA,InsurancePlan
ACR:100098,ACR,100098,MEDICARE COMM,COMM,MEDICARE,InsurancePlan
RADS2:100099,RADS2,100099,MEDICARE MCDASSIGN,MCDASSIGN,MEDICARE,InsurancePlan
RADA:100103,RADA,100103,BCBS TPA,TPA,BCBS,InsurancePlan
RADI:100111,RADI,100111,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADE:100119,RADE,100119,MEDICAID INDEMNITY,INDEMNITY,MEDICAID,InsurancePlan
WRAD:100122,WRAD,100122,BCBS POS,POS,BCBS,InsurancePlan
RADL:100125,RADL,100125,AETNA INDEMNITY,INDEMNITY,AETNA,InsurancePlan
RADK:100128,RADK,100128,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADO:100136,RADO,100136,MAGELLAN INDEMNITY,INDEMNITY,MAGELLAN,InsurancePlan
