:START_ID(Charge),:END_ID(Location),:TYPE
RADM:10000000,RADM:1,AT_LOCATION
RADM:10000001,RADM:5,AT_LOCATION
RADM:10000002,RADM:3,AT_LOCATION
RADM:10000003,RADM:4,AT_LOCATION
RADM:10000004,RADM:5,AT_LOCATION
RADM:10000005,RADM:3,AT_LOCATION
RADM:10000006,RADM:7,AT_LOCATION
RADM:10000007,RADM:4,AT_LOCATION
RADM:10000008,RADM:1,AT_LOCATION
RADM:10000009,RADM:3,AT_LOCATION
RADM:10000010,RADM:2,AT_LOCATION
RADM:10000011,RADM:5,AT_LOCATION
RADM:10000012,RADM:1,AT_LOCATION
RADM:10000013,RADM:7,AT_LOCATION
RADM:10000014,RADM:1,AT_LOCATION
TRI:10000015,TRI:3,AT_LOCATION
TRI:10000016,TRI:2,AT_LOCATION
TRI:10000017,TRI:2,AT_LOCATION
TRI:10000018,TRI:2,AT_LOCATION
TRI:10000019,TRI:2,AT_LOCATION
TRI:10000020,TRI:3,AT_LOCATION
TRI:10000021,TRI:2,AT_LOCATION
TRI:10000022,TRI:3,AT_LOCATION
TRI:10000023,TRI:2,AT_LOCATION
TRI:10000024,TRI:1,AT_LOCATION
TRI:10000025,TRI:1,AT_LOCATION
TRI:10000026,TRI:1,AT_LOCATION
TRI:10000027,TRI:1,AT_LOCATION
TRI:10000028,TRI:2,AT_LOCATION
TRI:10000029,TRI:1,AT_LOCATION
TRI:10000030,TRI:3,AT_LOCATION
TRI:10000031,TRI:1,AT_LOCATION
TRI:10000032,TRI:1,AT_LOCATION
TRI:10000033,TRI:2,AT_LOCATION
TRI:10000034,TRI:3,AT_LOCATION
RADH:10000035,RADH:1,AT_LOCATION
RADH:10000036,RADH:4,AT_LOCATION
RADH:10000037,RADH:4,AT_LOCATION
RADH:10000038,RADH:3,AT_LOCATION
RADH:10000039,RADH:7,AT_LOCATION
RADH:10000040,RADH:8,AT_LOCATION
RADH:10000041,RADH:4,AT_LOCATION
NRAA:10000042,NRAA:1,AT_LOCATION
NRAA:10000043,NRAA:6,AT_LOCATION
NRAA:10000044,NRAA:3,AT_LOCATION
NRAA:10000045,NRAA:2,AT_LOCATION
RADZ:10000046,RADZ:8,AT_LOCATION
NRA:10000047,NRA:1,AT_LOCATION
NRA:10000048,NRA:1,AT_LOCATION
NRA:10000049,NRA:4,AT_LOCATION
SAPA:10000050,SAPA:1,AT_LOCATION
SAPA:10000051,SAPA:8,AT_LOCATION
SAPA:10000052,SAPA:1,AT_LOCATION
SAPA:10000053,SAPA:8,AT_LOCATION
SAPA:10000054,SAPA:8,AT_LOCATION
SAPA:10000055,SAPA:3,AT_LOCATION
SAPA:10000056,SAPA:1,AT_LOCATION
SAPA:10000057,SAPA:4,AT_LOCATION
SAPA:10000058,SAPA:8,AT_LOCATION
SAPA:10000059,SAPA:6,AT_LOCATION
SAPA:10000060,SAPA:6,AT_LOCATION
SAPA:10000061,SAPA:6,AT_LOCATION
SAPA:10000062,SAPA:8,AT_LOCATION
GRH:10000063,GRH:1,AT_LOCATION
GRH:10000064,GRH:3,AT_LOCATION
GRH:10000065,GRH:6,AT_LOCATION
GRH:10000066,GRH:3,AT_LOCATION
GRH:10000067,GRH:5,AT_LOCATION
GRH:10000068,GRH:2,AT_LOCATION
GRH:10000069,GRH:4,AT_LOCATION
GRH:10000070,GRH:4,AT_LOCATION
GRH:10000071,GRH:1,AT_LOCATION
GRH:10000072,GRH:5,AT_LOCATION
RADX:10000073,RADX:3,AT_LOCATION
RADX:10000074,RADX:5,AT_LOCATION
RADX:10000075,RADX:4,AT_LOCATION
RADX:10000076,RADX:3,AT_LOCATION
RADX:10000077,RADX:4,AT_LOCATION
RADX:10000078,RADX:3,AT_LOCATION
RADX:10000079,RADX:3,AT_LOCATION
RADX:10000080,RADX:5,AT_LOCATION
RADX:10000081,RADX:3,AT_LOCATION
RADX:10000082,RADX:1,AT_LOCATION
RASFA:10000083,RASFA:2,AT_LOCATION
RASFA:10000084,RASFA:7,AT_LOCATION
RASFA:10000085,RASFA:2,AT_LOCATION
RADD:10000086,RADD:7,AT_LOCATION
RADD:10000087,RADD:5,AT_LOCATION
RADD:10000088,RADD:4,AT_LOCATION
RADD:10000089,RADD:6,AT_LOCATION
RADD:10000090,RADD:4,AT_LOCATION
RADD:10000091,RADD:2,AT_LOCATION
RADD:10000092,RADD:1,AT_LOCATION
RADD:10000093,RADD:7,AT_LOCATION
RADD:10000094,RADD:6,AT_LOCATION
RADD:10000095,RADD:5,AT_LOCATION
RADD:10000096,RADD:7,AT_LOCATION
RADD:10000097,RADD:1,AT_LOCATION
RADD:10000098,RADD:4,AT_LOCATION
RADD:10000099,RADD:3,AT_LOCATION
RADD:10000100,RADD:6,AT_LOCATION
RADD:10000101,RADD:5,AT_LOCATION
RADD:10000102,RADD:4,AT_LOCATION
RADD:10000103,RADD:5,AT_LOCATION
RADD:10000104,RADD:2,AT_LOCATION
RADD:10000105,RADD:3,AT_LOCATION
RADT:10000106,RADT:3,AT_LOCATION
RADT:10000107,RADT:1,AT_LOCATION
RADT:10000108,RADT:3,AT_LOCATION
RADT:10000109,RADT:3,AT_LOCATION
RADT:10000110,RADT:2,AT_LOCATION
RADT:10000111,RADT:2,AT_LOCATION
RADT:10000112,RADT:1,AT_LOCATION
RADT:10000113,RADT:1,AT_LOCATION
RADT:10000114,RADT:3,AT_LOCATION
RADT:10000115,RADT:1,AT_LOCATION
RADT:10000116,RADT:2,AT_LOCATION
RADT:10000117,RADT:1,AT_LOCATION
RADT:10000118,RADT:1,AT_LOCATION
RADT:10000119,RADT:2,AT_LOCATION
RADT:10000120,RADT:1,AT_LOCATION
RADT:10000121,RADT:2,AT_LOCATION
RADT:10000122,RADT:1,AT_LOCATION
RADT:10000123,RADT:3,AT_LOCATION
RADT:10000124,RADT:3,AT_LOCATION
RADT:10000125,RADT:1,AT_LOCATION
RADT:10000126,RADT:1,AT_LOCATION
RADG:10000127,RADG:2,AT_LOCATION
RADG:10000128,RADG:1,AT_LOCATION
RADG:10000129,RADG:1,AT_LOCATION
RADG:10000130,RADG:3,AT_LOCATION
RADG:10000131,RADG:2,AT_LOCATION
RADG:10000132,RADG:1,AT_LOCATION
RADG:10000133,RADG:3,AT_LOCATION
RADG:10000134,RADG:3,AT_LOCATION
RADG:10000135,RADG:3,AT_LOCATION
RADG:10000136,RADG:2,AT_LOCATION
RADG:10000137,RADG:3,AT_LOCATION
RADG:10000138,RADG:3,AT_LOCATION
RADG:10000139,RADG:1,AT_LOCATION
RADG:10000140,RADG:2,AT_LOCATION
RADG:10000141,RADG:2,AT_LOCATION
RADS2:10000142,RADS2:8,AT_LOCATION
TRI:10000143,TRI:3,AT_LOCATION
TRI:10000144,TRI:2,AT_LOCATION
TRI:10000145,TRI:3,AT_LOCATION
TRI:10000146,TRI:2,AT_LOCATION
TRI:10000147,TRI:2,AT_LOCATION
TRI:10000148,TRI:1,AT_LOCATION
TRI:10000149,TRI:2,AT_LOCATION
TRI:10000150,TRI:2,AT_LOCATION
RADB:10000151,RADB:8,AT_LOCATION
RADB:10000152,RADB:3,AT_LOCATION
RADB:10000153,RADB:9,AT_LOCATION
RADB:10000154,RADB:1,AT_LOCATION
RADB:10000155,RADB:4,AT_LOCATION
RADB:10000156,RADB:7,AT_LOCATION
RADB:10000157,RADB:2,AT_LOCATION
RADB:10000158,RADB:5,AT_LOCATION
RADB:10000159,RADB:4,AT_LOCATION
RADB:10000160,RADB:5,AT_LOCATION
RADB:10000161,RADB:6,AT_LOCATION
RADB:10000162,RADB:7,AT_LOCATION
RADB:10000163,RADB:1,AT_LOCATION
RADB:10000164,RADB:7,AT_LOCATION
RADB:10000165,RADB:5,AT_LOCATION
RADA:10000166,RADA:6,AT_LOCATION
RADA:10000167,RADA:2,AT_LOCATION
RADA:10000168,RADA:5,AT_LOCATION
RADA:10000169,RADA:6,AT_LOCATION
RADA:10000170,RADA:4,AT_LOCATION
RADA:10000171,RADA:1,AT_LOCATION
RADA:10000172,RADA:5,AT_LOCATION
RADA:10000173,RADA:4,AT_LOCATION
RADA:10000174,RADA:1,AT_LOCATION
RADA:10000175,RADA:7,AT_LOCATION
RADA:10000176,RADA:5,AT_LOCATION
RADA:10000177,RADA:6,AT_LOCATION
RADM:10000178,RADM:1,AT_LOCATION
RADM:10000179,RADM:2,AT_LOCATION
RADM:10000180,RADM:3,AT_LOCATION
