:START_ID(Charge),:END_ID(ProcedureCode),:TYPE
RADM:10000000,70486,USES_PROCEDURE
RADM:10000001,73201,USES_PROCEDURE
RADM:10000002,77065,USES_PROCEDURE
RADM:10000003,73201,USES_PROCEDURE
RADM:10000004,77065,USES_PROCEDURE
RADM:10000005,77080,USES_PROCEDURE
RADM:10000006,76805,USES_PROCEDURE
RADM:10000007,G9553,USES_PROCEDURE
RADM:10000008,G9553,USES_PROCEDURE
RADM:10000009,72195,USES_PROCEDURE
RADM:10000010,76770,USES_PROCEDURE
RADM:10000011,74183,USES_PROCEDURE
RADM:10000012,72195,USES_PROCEDURE
RADM:10000013,76604,USES_PROCEDURE
RADM:10000014,74177,USES_PROCEDURE
TRI:10000015,72141,USES_PROCEDURE
TRI:10000016,74178,USES_PROCEDURE
TRI:10000017,73223,USES_PROCEDURE
TRI:10000018,74183,USES_PROCEDURE
TRI:10000019,77067,USES_PROCEDURE
TRI:10000020,G9552,USES_PROCEDURE
TRI:10000021,G9553,USES_PROCEDURE
TRI:10000022,72148,USES_PROCEDURE
TRI:10000023,76604,USES_PROCEDURE
TRI:10000024,70544,USES_PROCEDURE
TRI:10000025,73223,USES_PROCEDURE
TRI:10000026,76805,USES_PROCEDURE
TRI:10000027,71046,USES_PROCEDURE
TRI:10000028,76536,USES_PROCEDURE
TRI:10000029,74176,USES_PROCEDURE
TRI:10000030,76805,USES_PROCEDURE
TRI:10000031,70540,USES_PROCEDURE
TRI:10000032,76805,USES_PROCEDURE
TRI:10000033,73222,USES_PROCEDURE
TRI:10000034,77065,USES_PROCEDURE
RADH:10000035,76805,USES_PROCEDURE
RADH:10000036,74178,USES_PROCEDURE
RADH:10000037,72158,USES_PROCEDURE
RADH:10000038,73222,USES_PROCEDURE
RADH:10000039,70486,USES_PROCEDURE
RADH:10000040,74176,USES_PROCEDURE
RADH:10000041,73222,USES_PROCEDURE
NRAA:10000042,74176,USES_PROCEDURE
NRAA:10000043,72141,USES_PROCEDURE
NRAA:10000044,73222,USES_PROCEDURE
NRAA:10000045,G9551,USES_PROCEDURE
RADZ:10000046,73721,USES_PROCEDURE
NRA:10000047,73706,USES_PROCEDURE
NRA:10000048,72195,USES_PROCEDURE
NRA:10000049,77080,USES_PROCEDURE
SAPA:10000050,76604,USES_PROCEDURE
SAPA:10000051,70450,USES_PROCEDURE
SAPA:10000052,71045,USES_PROCEDURE
SAPA:10000053,77080,USES_PROCEDURE
SAPA:10000054,73223,USES_PROCEDURE
SAPA:10000055,71045,USES_PROCEDURE
SAPA:10000056,71047,USES_PROCEDURE
SAPA:10000057,G9551,USES_PROCEDURE
SAPA:10000058,73223,USES_PROCEDURE
SAPA:10000059,76805,USES_PROCEDURE
SAPA:10000060,70540,USES_PROCEDURE
SAPA:10000061,70544,USES_PROCEDURE
SAPA:10000062,73706,USES_PROCEDURE
GRH:10000063,G9552,USES_PROCEDURE
GRH:10000064,71047,USES_PROCEDURE
GRH:10000065,74175,USES_PROCEDURE
GRH:10000066,70553,USES_PROCEDURE
GRH:10000067,G9552,USES_PROCEDURE
GRH:10000068,73222,USES_PROCEDURE
