:START_ID(Location),:END_ID(Practice),:TYPE
ESR:1,ESR,BELONGS_TO_PRACTICE
RADK:1,RADK,BELONGS_TO_PRACTICE
RADR:1,RADR,BELONGS_TO_PRACTICE
CIRPA:1,CIRPA,BELONGS_TO_PRACTICE
GRH:1,GRH,BELONGS_TO_PRACTICE
RADN:1,RADN,BELONGS_TO_PRACTICE
RADQ:1,RADQ,BELONGS_TO_PRACTICE
RADK:2,RADK,BELONGS_TO_PRACTICE
RADX:1,RADX,BELONGS_TO_PRACTICE
RADU:1,RADU,BELONGS_TO_PRACTICE
RADC:1,RADC,BELONGS_TO_PRACTICE
MRB:1,MRB,BELONGS_TO_PRACTICE
NRAA:1,NRAA,BELONGS_TO_PRACTICE
ACRB:1,ACRB,BELONGS_TO_PRACTICE
CIRPA:2,CIRPA,BELONGS_TO_PRACTICE
RASFA:1,RASFA,BELONGS_TO_PRACTICE
RADO:1,RADO,BELONGS_TO_PRACTICE
ACR:1,ACR,BELONGS_TO_PRACTICE
MRB:2,MRB,BELONGS_TO_PRACTICE
GSIA:1,GSIA,BELONGS_TO_PRACTICE
RADM:1,RADM,BELONGS_TO_PRACTICE
RADL:1,RADL,BELONGS_TO_PRACTICE
RADT:1,RADT,BELONGS_TO_PRACTICE
RADA:1,RADA,BELONGS_TO_PRACTICE
RADS2:1,RADS2,BELONGS_TO_PRACTICE
CRC:1,CRC,BELONGS_TO_PRACTICE
NRAA:2,NRAA,BELONGS_TO_PRACTICE
RADF:1,RADF,BELONGS_TO_PRACTICE
RADO:2,RADO,BELONGS_TO_PRACTICE
RADF:2,RADF,BELONGS_TO_PRACTICE
ACRB:2,ACRB,BELONGS_TO_PRACTICE
RADA:2,RADA,BELONGS_TO_PRACTICE
RADT:2,RADT,BELONGS_TO_PRACTICE
RADE:1,RADE,BELONGS_TO_PRACTICE
CRC:2,CRC,BELONGS_TO_PRACTICE
RADY:1,RADY,BELONGS_TO_PRACTICE
RADU:2,RADU,BELONGS_TO_PRACTICE
RADA:3,RADA,BELONGS_TO_PRACTICE
RADX:2,RADX,BELONGS_TO_PRACTICE
RADK:3,RADK,BELONGS_TO_PRACTICE
RADE:2,RADE,BELONGS_TO_PRACTICE
ACR:2,ACR,BELONGS_TO_PRACTICE
RADZ:1,RADZ,BELONGS_TO_PRACTICE
ESR:2,ESR,BELONGS_TO_PRACTICE
ACRB:3,ACRB,BELONGS_TO_PRACTICE
RADI:1,RADI,BELONGS_TO_PRACTICE
PXP:1,PXP,BELONGS_TO_PRACTICE
RADU:3,RADU,BELONGS_TO_PRACTICE
RADS2:2,RADS2,BELONGS_TO_PRACTICE
ACR:3,ACR,BELONGS_TO_PRACTICE
RASFA:2,RASFA,BELONGS_TO_PRACTICE
RADZ:2,RADZ,BELONGS_TO_PRACTICE
NRAA:3,NRAA,BELONGS_TO_PRACTICE
RADO:3,RADO,BELONGS_TO_PRACTICE
RADD:1,RADD,BELONGS_TO_PRACTICE
RADB:1,RADB,BELONGS_TO_PRACTICE
NRAA:4,NRAA,BELONGS_TO_PRACTICE
RADI:2,RADI,BELONGS_TO_PRACTICE
RADF:3,RADF,BELONGS_TO_PRACTICE
IAI:1,IAI,BELONGS_TO_PRACTICE
PXP:2,PXP,BELONGS_TO_PRACTICE
GRH:2,GRH,BELONGS_TO_PRACTICE
PXP:3,PXP,BELONGS_TO_PRACTICE
RADJ:1,RADJ,BELONGS_TO_PRACTICE
CIRPA:3,CIRPA,BELONGS_TO_PRACTICE
RADQ:2,RADQ,BELONGS_TO_PRACTICE
SAPA:1,SAPA,BELONGS_TO_PRACTICE
ACRB:4,ACRB,BELONGS_TO_PRACTICE
RADS:1,RADS,BELONGS_TO_PRACTICE
RADU:4,RADU,BELONGS_TO_PRACTICE
TRI:1,TRI,BELONGS_TO_PRACTICE
RADS2:3,RADS2,BELONGS_TO_PRACTICE
RADJ:2,RADJ,BELONGS_TO_PRACTICE
PMR:1,PMR,BELONGS_TO_PRACTICE
RADD:2,RADD,BELONGS_TO_PRACTICE
RADH:1,RADH,BELONGS_TO_PRACTICE
ESR:3,ESR,BELONGS_TO_PRACTICE
RADU:5,RADU,BELONGS_TO_PRACTICE
RADG:1,RADG,BELONGS_TO_PRACTICE
RADX:3,RADX,BELONGS_TO_PRACTICE
RADZ:3,RADZ,BELONGS_TO_PRACTICE
RADU:6,RADU,BELONGS_TO_PRACTICE
