:START_ID(RCCall),:END_ID(Campaign),:TYPE
593000000000,MRB,PART_OF_CAMPAIGN
593000000001,IAI,PART_OF_CAMPAIGN
593000000002,ACR,PART_OF_CAMPAIGN
593000000003,SMED,PART_OF_CAMPAIGN
593000000004,GRH,PART_OF_CAMPAIGN
593000000005,RASFA,PART_OF_CAMPAIGN
593000000006,NRA,PART_OF_CAMPAIGN
593000000007,NRAA,PART_OF_CAMPAIGN
593000000008,TRI,PART_OF_CAMPAIGN
593000000009,GRH,PART_OF_CAMPAIGN
593000000010,IAI,PART_OF_CAMPAIGN
593000000011,IAI,PART_OF_CAMPAIGN
593000000012,TRI,PART_OF_CAMPAIGN
593000000013,CRC,PART_OF_CAMPAIGN
593000000014,PMR,PART_OF_CAMPAIGN
593000000015,ACRB,PART_OF_CAMPAIGN
593000000016,TRI,PART_OF_CAMPAIGN
593000000017,NRA,PART_OF_CAMPAIGN
593000000018,SAPA,PART_OF_CAMPAIGN
593000000019,NRA,PART_OF_CAMPAIGN
593000000020,IAI,PART_OF_CAMPAIGN
593000000021,PMR,PART_OF_CAMPAIGN
593000000022,NRA,PART_OF_CAMPAIGN
593000000023,SMED,PART_OF_CAMPAIGN
593000000024,GRH,PART_OF_CAMPAIGN
593000000025,PMR,PART_OF_CAMPAIGN
593000000026,PMR,PART_OF_CAMPAIGN
593000000027,PMR,PART_OF_CAMPAIGN
593000000028,SAPA,PART_OF_CAMPAIGN
593000000029,GSIA,PART_OF_CAMPAIGN
593000000030,IAI,PART_OF_CAMPAIGN
593000000031,NRA,PART_OF_CAMPAIGN
593000000032,ACRB,PART_OF_CAMPAIGN
593000000033,RASFA,PART_OF_CAMPAIGN
593000000034,MRB,PART_OF_CAMPAIGN
593000000035,NRAA,PART_OF_CAMPAIGN
593000000036,GRH,PART_OF_CAMPAIGN
593000000037,NRA,PART_OF_CAMPAIGN
593000000038,PMR,PART_OF_CAMPAIGN
593000000039,SMED,PART_OF_CAMPAIGN
593000000040,SMED,PART_OF_CAMPAIGN
593000000041,NRA,PART_OF_CAMPAIGN
593000000042,TRI,PART_OF_CAMPAIGN
593000000043,MRB,PART_OF_CAMPAIGN
593000000044,IAI,PART_OF_CAMPAIGN
593000000045,RASFA,PART_OF_CAMPAIGN
593000000046,ACR,PART_OF_CAMPAIGN
593000000047,IAI,PART_OF_CAMPAIGN
593000000048,SAPA,PART_OF_CAMPAIGN
593000000049,NRA,PART_OF_CAMPAIGN
593000000050,MRB,PART_OF_CAMPAIGN
593000000051,TRI,PART_OF_CAMPAIGN
593000000052,TRI,PART_OF_CAMPAIGN
593000000053,ACRB,PART_OF_CAMPAIGN
593000000054,PMR,PART_OF_CAMPAIGN
593000000055,RASFA,PART_OF_CAMPAIGN
593000000056,IAI,PART_OF_CAMPAIGN
593000000057,RASFA,PART_OF_CAMPAIGN
593000000058,NRA,PART_OF_CAMPAIGN
593000000059,PMR,PART_OF_CAMPAIGN
593000000060,SMED,PART_OF_CAMPAIGN
593000000061,GSIA,PART_OF_CAMPAIGN
593000000062,CRC,PART_OF_CAMPAIGN
593000000063,ACR,PART_OF_CAMPAIGN
593000000064,IAI,PART_OF_CAMPAIGN
593000000065,MRB,PART_OF_CAMPAIGN
593000000066,SMED,PART_OF_CAMPAIGN
593000000067,PMR,PART_OF_CAMPAIGN
593000000068,SMED,PART_OF_CAMPAIGN
593000000069,GSIA,PART_OF_CAMPAIGN
593000000070,TRI,PART_OF_CAMPAIGN
593000000071,SAPA,PART_OF_CAMPAIGN
593000000072,MRB,PART_OF_CAMPAIGN
593000000073,PMR,PART_OF_CAMPAIGN
593000000074,TRI,PART_OF_CAMPAIGN
593000000075,GRH,PART_OF_CAMPAIGN
593000000076,ESR,PART_OF_CAMPAIGN
593000000077,TRI,PART_OF_CAMPAIGN
593000000078,ESR,PART_OF_CAMPAIGN
593000000079,ACR,PART_OF_CAMPAIGN
593000000080,ESR,PART_OF_CAMPAIGN
593000000081,RASFA,PART_OF_CAMPAIGN
593000000082,GSIA,PART_OF_CAMPAIGN
593000000083,IAI,PART_OF_CAMPAIGN
593000000084,GSIA,PART_OF_CAMPAIGN
593000000085,ACR,PART_OF_CAMPAIGN
593000000086,GSIA,PART_OF_CAMPAIGN
593000000087,NRAA,PART_OF_CAMPAIGN
593000000088,NRAA,PART_OF_CAMPAIGN
593000000089,GRH,PART_OF_CAMPAIGN
593000000090,GRH,PART_OF_CAMPAIGN
593000000091,RASFA,PART_OF_CAMPAIGN
593000000092,NRAA,PART_OF_CAMPAIGN
593000000093,SMED,PART_OF_CAMPAIGN
593000000094,GSIA,PART_OF_CAMPAIGN
593000000095,MRB,PART_OF_CAMPAIGN
593000000096,ACR,PART_OF_CAMPAIGN
593000000097,SMED,PART_OF_CAMPAIGN
593000000098,ACR,PART_OF_CAMPAIGN
593000000099,ACR,PART_OF_CAMPAIGN
593000000100,SMED,PART_OF_CAMPAIGN
593000000101,TRI,PART_OF_CAMPAIGN
593000000102,SAPA,PART_OF_CAMPAIGN
593000000103,NRA,PART_OF_CAMPAIGN
593000000104,ESR,PART_OF_CAMPAIGN
593000000105,PMR,PART_OF_CAMPAIGN
593000000106,ACRB,PART_OF_CAMPAIGN
593000000107,PMR,PART_OF_CAMPAIGN
593000000108,NRA,PART_OF_CAMPAIGN
593000000109,ACR,PART_OF_CAMPAIGN
593000000110,ESR,PART_OF_CAMPAIGN
593000000111,ESR,PART_OF_CAMPAIGN
593000000112,SAPA,PART_OF_CAMPAIGN
593000000113,SAPA,PART_OF_CAMPAIGN
593000000114,ESR,PART_OF_CAMPAIGN
593000000115,PXP,PART_OF_CAMPAIGN
593000000116,CRC,PART_OF_CAMPAIGN
593000000117,PMR,PART_OF_CAMPAIGN
593000000118,ACR,PART_OF_CAMPAIGN
593000000119,SAPA,PART_OF_CAMPAIGN
593000000120,CRC,PART_OF_CAMPAIGN
593000000121,TRI,PART_OF_CAMPAIGN
593000000122,GRH,PART_OF_CAMPAIGN
593000000123,SMED,PART_OF_CAMPAIGN
593000000124,PXP,PART_OF_CAMPAIGN
593000000125,SAPA,PART_OF_CAMPAIGN
593000000126,ACR,PART_OF_CAMPAIGN
593000000127,SMED,PART_OF_CAMPAIGN
593000000128,TRI,PART_OF_CAMPAIGN
593000000129,MRB,PART_OF_CAMPAIGN
593000000130,SMED,PART_OF_CAMPAIGN
593000000131,NRAA,PART_OF_CAMPAIGN
593000000132,TRI,PART_OF_CAMPAIGN
593000000133,ACR,PART_OF_CAMPAIGN
593000000134,PXP,PART_OF_CAMPAIGN
593000000135,PXP,PART_OF_CAMPAIGN
593000000136,TRI,PART_OF_CAMPAIGN
593000000137,ESR,PART_OF_CAMPAIGN
593000000138,ACRB,PART_OF_CAMPAIGN
593000000139,ESR,PART_OF_CAMPAIGN
593000000140,NRAA,PART_OF_CAMPAIGN
593000000141,NRA,PART_OF_CAMPAIGN
593000000142,GRH,PART_OF_CAMPAIGN
593000000143,ACRB,PART_OF_CAMPAIGN
593000000144,NRA,PART_OF_CAMPAIGN
593000000145,GRH,PART_OF_CAMPAIGN
593000000146,PMR,PART_OF_CAMPAIGN
593000000147,GSIA,PART_OF_CAMPAIGN
593000000148,NRA,PART_OF_CAMPAIGN
593000000149,PXP,PART_OF_CAMPAIGN
593000000150,ACRB,PART_OF_CAMPAIGN
593000000151,SAPA,PART_OF_CAMPAIGN
593000000152,MRB,PART_OF_CAMPAIGN
593000000153,ACRB,PART_OF_CAMPAIGN
593000000154,ACR,PART_OF_CAMPAIGN
593000000155,GSIA,PART_OF_CAMPAIGN
593000000156,NRAA,PART_OF_CAMPAIGN
593000000157,SAPA,PART_OF_CAMPAIGN
593000000158,PMR,PART_OF_CAMPAIGN
593000000159,ACR,PART_OF_CAMPAIGN
593000000160,NRA,PART_OF_CAMPAIGN
593000000161,SMED,PART_OF_CAMPAIGN
593000000162,CRC,PART_OF_CAMPAIGN
593000000163,PMR,PART_OF_CAMPAIGN
593000000164,RASFA,PART_OF_CAMPAIGN
593000000165,PXP,PART_OF_CAMPAIGN
593000000166,PXP,PART_OF_CAMPAIGN
593000000167,NRA,PART_OF_CAMPAIGN
593000000168,NRA,PART_OF_CAMPAIGN
593000000169,SAPA,PART_OF_CAMPAIGN
593000000170,ACRB,PART_OF_CAMPAIGN
593000000171,NRAA,PART_OF_CAMPAIGN
593000000172,RASFA,PART_OF_CAMPAIGN
593000000173,ACR,PART_OF_CAMPAIGN
593000000174,ACRB,PART_OF_CAMPAIGN
593000000175,MRB,PART_OF_CAMPAIGN
593000000176,SAPA,PART_OF_CAMPAIGN
593000000177,PMR,PART_OF_CAMPAIGN
593000000178,ESR,PART_OF_CAMPAIGN
593000000179,TRI,PART_OF_CAMPAIGN
593000000180,CRC,PART_OF_CAMPAIGN
593000000181,GSIA,PART_OF_CAMPAIGN
593000000182,PXP,PART_OF_CAMPAIGN
593000000183,NRA,PART_OF_CAMPAIGN
593000000184,RASFA,PART_OF_CAMPAIGN
593000000185,GRH,PART_OF_CAMPAIGN
593000000186,ACR,PART_OF_CAMPAIGN
593000000187,ESR,PART_OF_CAMPAIGN
593000000188,NRAA,PART_OF_CAMPAIGN
593000000189,SMED,PART_OF_CAMPAIGN
593000000190,NRAA,PART_OF_CAMPAIGN
593000000191,SAPA,PART_OF_CAMPAIGN
593000000192,NRA,PART_OF_CAMPAIGN
593000000193,ACRB,PART_OF_CAMPAIGN
593000000194,SMED,PART_OF_CAMPAIGN
593000000195,IAI,PART_OF_CAMPAIGN
593000000196,ESR,PART_OF_CAMPAIGN
593000000197,NRAA,PART_OF_CAMPAIGN
593000000198,IAI,PART_OF_CAMPAIGN
593000000199,IAI,PART_OF_CAMPAIGN
593000000200,MRB,PART_OF_CAMPAIGN
593000000201,NRA,PART_OF_CAMPAIGN
593000000202,RASFA,PART_OF_CAMPAIGN
593000000203,GSIA,PART_OF_CAMPAIGN
593000000204,MRB,PART_OF_CAMPAIGN
593000000205,SAPA,PART_OF_CAMPAIGN
593000000206,IAI,PART_OF_CAMPAIGN
593000000207,SMED,PART_OF_CAMPAIGN
593000000208,NRA,PART_OF_CAMPAIGN
593000000209,ACR,PART_OF_CAMPAIGN
593000000210,RASFA,PART_OF_CAMPAIGN
593000000211,NRAA,PART_OF_CAMPAIGN
593000000212,SMED,PART_OF_CAMPAIGN
593000000213,ACRB,PART_OF_CAMPAIGN
593000000214,ACRB,PART_OF_CAMPAIGN
593000000215,CRC,PART_OF_CAMPAIGN
593000000216,NRA,PART_OF_CAMPAIGN
593000000217,RASFA,PART_OF_CAMPAIGN
593000000218,TRI,PART_OF_CAMPAIGN
593000000219,ACRB,PART_OF_CAMPAIGN
593000000220,SAPA,PART_OF_CAMPAIGN
593000000221,GRH,PART_OF_CAMPAIGN
593000000222,ACRB,PART_OF_CAMPAIGN
593000000223,ESR,PART_OF_CAMPAIGN
593000000224,MRB,PART_OF_CAMPAIGN
593000000225,CRC,PART_OF_CAMPAIGN
593000000226,SAPA,PART_OF_CAMPAIGN
593000000227,RASFA,PART_OF_CAMPAIGN
593000000228,PMR,PART_OF_CAMPAIGN
593000000229,ESR,PART_OF_CAMPAIGN
593000000230,NRAA,PART_OF_CAMPAIGN
593000000231,PMR,PART_OF_CAMPAIGN
593000000232,IAI,PART_OF_CAMPAIGN
593000000233,TRI,PART_OF_CAMPAIGN
593000000234,GRH,PART_OF_CAMPAIGN
593000000235,TRI,PART_OF_CAMPAIGN
593000000236,IAI,PART_OF_CAMPAIGN
593000000237,SAPA,PART_OF_CAMPAIGN
593000000238,CRC,PART_OF_CAMPAIGN
593000000239,PMR,PART_OF_CAMPAIGN
593000000240,IAI,PART_OF_CAMPAIGN
593000000241,PMR,PART_OF_CAMPAIGN
593000000242,TRI,PART_OF_CAMPAIGN
593000000243,GSIA,PART_OF_CAMPAIGN
593000000244,ESR,PART_OF_CAMPAIGN
593000000245,CRC,PART_OF_CAMPAIGN
593000000246,IAI,PART_OF_CAMPAIGN
593000000247,CRC,PART_OF_CAMPAIGN
593000000248,IAI,PART_OF_CAMPAIGN
593000000249,ACR,PART_OF_CAMPAIGN
593000000250,PXP,PART_OF_CAMPAIGN
593000000251,ACR,PART_OF_CAMPAIGN
593000000252,ACR,PART_OF_CAMPAIGN
593000000253,TRI,PART_OF_CAMPAIGN
593000000254,PXP,PART_OF_CAMPAIGN
593000000255,TRI,PART_OF_CAMPAIGN
593000000256,RASFA,PART_OF_CAMPAIGN
593000000257,RASFA,PART_OF_CAMPAIGN
593000000258,RASFA,PART_OF_CAMPAIGN
593000000259,PXP,PART_OF_CAMPAIGN
593000000260,NRAA,PART_OF_CAMPAIGN
593000000261,CRC,PART_OF_CAMPAIGN
593000000262,IAI,PART_OF_CAMPAIGN
593000000263,ESR,PART_OF_CAMPAIGN
593000000264,NRA,PART_OF_CAMPAIGN
593000000265,MRB,PART_OF_CAMPAIGN
593000000266,GSIA,PART_OF_CAMPAIGN
593000000267,NRAA,PART_OF_CAMPAIGN
593000000268,GRH,PART_OF_CAMPAIGN
